identifier,05_CP_PA_-Fe/+Fe__MEAN,05_CP_PA_-Fe/+Fe__STD,01_WC_PH_-Fe/+Fe__MEAN,01_WC_PH_-Fe/+Fe__STD,06_PA/PH__MEAN,06_PA/PH__STD,02_WC_PA_-Fe/+Fe__MEAN,02_WC_PA_-Fe/+Fe__STD,03_WC_PA/PH__MEAN,03_WC_PA/PH__STD,04_CP_PH_-Fe/+Fe__MEAN,04_CP_PH_-Fe/+Fe__STD
"Cre03.g196900.t1.1|PACid:19871409",0.380440149977,0.333813161962,0.702741952833,0.52706340566,-0.599514403596,0.0603144059486,0.903260326982,0.001,0.695647412904,0.152879905855,0.466054388695,0.774320639499
"Cre06.g308250.t1.1|PACid:19863196",-0.217784670919,0.119844892679,-0.877806259669,0.248179136903,-0.484707316842,0.256652152848,0.0351143563901,0.230548908648,-0.80093410429,0.164257734825,0.772661279364,0.462796662572
"Cre02.g080600.t1.1|PACid:19868657__Cre02.g080700.t1.1|PACid:19868312__Cre08.g372100.t1.1|PACid:19858518",-0.17766397408,0.0347012116297,0.205447958619,0.0980537644542,-1.45347502087,0.227607093551,0.123287687132,0.0913321270121,-0.716290840935,0.23442173955,0.359581452906,0.001
"Cre03.g158900.t1.1|PACid:19872181",-0.499791868793,0.203844266409,-1.37110457733,0.176147254818,-0.0552323743648,0.106944741363,-0.645137711668,0.222681336773,0.102126662469,0.0911300054825,-0.582283460918,0.116690338477
"Cre07.g341600.t1.1|PACid:19859679",-0.669605332219,0.164604776179,-0.677357596728,0.025702097293,-0.226510074916,0.0944236203433,0.251120080121,0.529636829013,-0.802646899011,0.425645719607,-0.160856620448,0.0732210229832
"Cre12.g533550.t1.1|PACid:19874260",-0.580550399973,0.108290995121,-0.298234527085,0.0844390653598,0.94485566767,0.001,-0.293651934986,0.118412833529,0.240192011613,0.271306938621,0.669489775471,0.0875117674851
"Cre13.g595900.t1.1|PACid:19869881",0.0998899347964,0.237973897839,-0.295522005406,0.154827883527,-0.0589402635927,0.165165883306,-0.241197848178,0.160771117161,-0.211840105207,0.215322882601,0.3481013187,1.38205591709
"Cre07.g353450.t1.1|PACid:19859471",-0.791497934968,0.189135987852,-0.251826256296,0.873640843148,-1.20372333249,0.228929873142,-1.50990321721,0.211608908612,-0.915093614708,0.184949954902,-0.481206644812,0.311987753414
"Cre02.g138750.t1.1|PACid:19868560",-0.286823813879,0.217270767061,0.545133848262,0.001,0.400853313638,0.12983264784,-0.960885293581,0.001,0.178785761393,0.001,0.826426941263,0.698157380601
"Cre12.g555250.t1.1|PACid:19874613",-0.149959895547,0.20531219284,-0.469979078333,0.344070363448,-0.448604383079,0.0901420711178,-0.225115310119,0.333451722633,0.181658606156,0.179595442797,0.196474832183,0.107787549551
"Cre12.g520500.t1.2|PACid:19874004",-0.254812359942,0.122287526125,-0.595711840006,0.13702885094,-1.07090191837,0.242197657162,-0.86618259277,1.03941529876,-0.892531336477,0.228781551089,0.699625635982,0.432035338244
